codigo,descricao
1,"Prédio residencial"
2,"Prédio comercial"
3,"Galpão"
11,"Apartamento"
12,"Casa"
13,"Terreno"
14,"Terra Nua"
15,"Sala ou Conjunto"
16,"Construção"
17,"Benfeitorias"
18,"Loja"
19,"Outros bens imóveis"
21,"Veículo automotor terrestre (caminhão, automóvel, moto etc.)"
22,"Aeronave"
23,"Embarcação"
24,"Bem relacionado com o exercício da atividade autônoma"
25,"Jóia, Quadro, Objeto de arte, de coleção, Antiguidade etc."
26,"Linha telefônica"
29,"Outros bens móveis"
31,"Ações (inclusive provenientes de linha telef.)"
32,"Quotas ou Quinhões de capital"
39,"Outras participações societárias"
41,"Caderneta de poupança"
45,"Aplicação de renda fixa (CDB, RDB e outros)"
46,"Ouro, Ativo financeiro"
47,"Mercado futuros, de opções e a termo"
49,"Outras aplicações e investimentos"
51,"Crédito decorrente de empréstimo"
52,"Crédito decorrente de alienação"
53,"Plano PAIT e Caderneta de pecúlio"
54,"Poupança para construção ou aquisição de bem imóvel"
59,"Outros créditos e Poupança vinculados"
61,"Depósito bancário em conta corrente no país"
62,"Depósito bancário em conta corrente no exterior"
63,"Dinheiro em espécie - Moeda nacional"
64,"Dinheiro em espécie - Moeda estrangeira"
69,"Outros depósitos à vista e numerário"
71,"Fundo de investimento financeiro - FIF"
72,"Fundo de longo prazo e Fundo de investimentos em direitos creditórios (FIDC)"
73,"Fundo de investimento imobiliário"
74,"Fundo de ações, inclusive carteira livre e Fundo de investimento no exterior"
79,"Outros fundos"
91,"Licença e Concessões especiais"
92,"Título de clube e assemelhado"
93,"Direito de autor, de inventor e patente"
94,"Direito de lavra e assemelhado"
95,"Consórcio não contemplado"
96,"Leasing"
97,"VGBL - Vida Gerador de Benefício Livre"
99,"Outros bens e direitos"
