codigo,descricao
0111301,Cultivo de arroz
0111302,Cultivo de milho
0111303,Cultivo de trigo
0111399,Cultivo de outros cereais não especificados anteriormente
0112101,Cultivo de algodão herbáceo
0112102,Cultivo de juta
0112199,Cultivo de outras fibras de lavoura temporária não especificadas anteriormente
0113000,Cultivo de cana-de-açúcar
0114800,Cultivo de fumo
0115600,Cultivo de soja
0116401,Cultivo de amendoim
0116402,Cultivo de girassol
0116403,Cultivo de mamona
0116499,Cultivo de outras oleaginosas de lavoura temporária não especificadas anteriormente
0119901,Cultivo de abacaxi
0119902,Cultivo de alho
0119903,Cultivo de batata-inglesa
0119904,Cultivo de cebola
0119905,Cultivo de feijão
0119906,Cultivo de mandioca
0119907,Cultivo de melão
0119908,Cultivo de melancia
0119909,Cultivo de tomate rasteiro
0119999,Cultivo de outras plantas de lavoura temporária não especificadas anteriormente
0121101,"Horticultura, exceto morango"
0121102,Cultivo de morango
0122900,Cultivo de flores e plantas ornamentais
0131800,Cultivo de laranja
0132600,Cultivo de uva
0133401,Cultivo de açaí
0133402,Cultivo de banana
0133403,Cultivo de caju
0133404,"Cultivo de cítricos, exceto laranja"
0133405,Cultivo de coco-da-baía
0133406,Cultivo de guaraná
0133407,Cultivo de maçã
0133408,Cultivo de mamão
0133409,Cultivo de maracujá
0133410,Cultivo de manga
0133411,Cultivo de pêssego
0133499,Cultivo de frutas de lavoura permanente não especificadas anteriormente
0134200,Cultivo de café
0135100,Cultivo de cacau
0139301,Cultivo de chá-da-índia
0139302,Cultivo de erva-mate
0139303,Cultivo de pimenta-do-reino
0139304,"Cultivo de plantas para condimento, exceto pimenta-do-reino"
0139305,Cultivo de dendê
0139306,Cultivo de seringueira
0139399,Cultivo de outras plantas de lavoura permanente não especificadas anteriormente
0141501,"Produção de sementes certificadas, exceto de forrageiras para pasto"
0141502,Produção de sementes certificadas de forrageiras para formação de pasto
0142300,"Produção de mudas e outras formas de propagação vegetal, certificadas"
0151201,Criação de bovinos para corte
0151202,Criação de bovinos para leite
0151203,"Criação de bovinos, exceto para corte e leite"
0152101,Criação de bufalinos
0152102,Criação de eqüinos
0152103,Criação de asininos e muares
0153901,Criação de caprinos
0153902,"Criação de ovinos, inclusive para produção de lã"
0154700,Criação de suínos
0155501,Criação de frangos para corte
0155502,Produção de pintos de um dia
0155503,"Criação de outros galináceos, exceto para corte"
0155504,"Criação de aves, exceto galináceos"
0155505,Produção de ovos
0159801,Apicultura
0159802,Criação de animais de estimação
0159803,Criação de escargô
0159804,Criação de bicho-da-seda
0159899,Criação de outros animais não especificados anteriormente
0161001,Serviço de pulverização e controle de pragas agrícolas
0161002,Serviço de poda de árvores para lavouras
0161003,"Serviço de preparação de terreno, cultivo e colheita"
0161099,Atividades de apoio à agricultura não especificadas anteriormente
0162801,Serviço de inseminação artificial em animais
0162802,Serviço de tosquiamento de ovinos
0162803,Serviço de manejo de animais
0162899,Atividades de apoio à pecuária não especificadas anteriormente
0163600,Atividades de pós-colheita
0170900,Caça e serviços relacionados
0210101,Cultivo de eucalipto
0210102,Cultivo de acácia-negra
0210103,Cultivo de pinus
0210104,Cultivo de teca
0210105,"Cultivo de espécies madeireiras, exceto eucalipto, acácia-negra, pinus e teca"
0210106,Cultivo de mudas em viveiros florestais
0210107,Extração de madeira em florestas plantadas
0210108,Produção de carvão vegetal - florestas plantadas
0210109,Produção de casca de acácia-negra - florestas plantadas
0210199,Produção de produtos não-madeireiros não especificados anteriormente em florestas plantadas
0220901,Extração de madeira em florestas nativas
0220902,Produção de carvão vegetal - florestas nativas
0220903,Coleta de castanha-do-pará em florestas nativas
0220904,Coleta de látex em florestas nativas
0220905,Coleta de palmito em florestas nativas
0220906,Conservação de florestas nativas
0220999,Coleta de produtos não-madeireiros não especificados anteriormente em florestas nativas
0230600,Atividades de apoio à produção florestal
0311601,Pesca de peixes em água salgada
0311602,Pesca de crustáceos e moluscos em água salgada
0311603,Coleta de outros produtos marinhos
0311604,Atividades de apoio à pesca em água salgada
0312401,Pesca de peixes em água doce
0312402,Pesca de crustáceos e moluscos em água doce
0312403,Coleta de outros produtos aquáticos de água doce
0312404,Atividades de apoio à pesca em água doce
0321301,Criação de peixes em água salgada e salobra
0321302,Criação de camarões em água salgada e salobra
0321303,Criação de ostras e mexilhões em água salgada e salobra
0321304,Criação de peixes ornamentais em água salgada e salobra
0321305,Atividades de apoio à aqüicultura em água salgada e salobra
0321399,Cultivos e semicultivos da aqüicultura em água salgada e salobra não especificados anteriormente
0322101,Criação de peixes em água doce
0322102,Criação de camarões em água doce
0322103,Criação de ostras e mexilhões em água doce
0322104,Criação de peixes ornamentais em água doce
0322105,Ranicultura
0322106,Criação de jacaré
0322107,Atividades de apoio à aqüicultura em água doce
