codigo,descricao
0,"SEM MOTIVO"
1,"EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA"
2,"INCORPORACAO"
3,"FUSAO"
4,"CISAO TOTAL"
5,"ENCERRAMENTO DA FALENCIA"
6,"ENCERRAMENTO DA LIQUIDACAO"
7,"ELEVACAO A MATRIZ"
8,"TRANSPASSE"
9,"NAO INICIO DE ATIVIDADE"
10,"EXTINCAO PELO ENCERRAMENTO DA LIQUIDACAO JUDICIAL"
11,"ANULACAO POR MULTICIPLIDADE"
12,"ANULACAO ONLINE DE OFICIO"
13,"OMISSA CONTUMAZ"
14,"OMISSA NAO LOCALIZADA"
15,"INEXISTENCIA DE FATO"
16,"ANULACAO POR VICIOS"
17,"BAIXA INICIADA EM ANALISE"
18,"INTERRUPCAO TEMPORARIA DAS ATIVIDADES"
21,"PEDIDO DE BAIXA INDEFERIDA"
24,"POR EMISSAO CERTIDAO NEGATIVA"
28,"TRANSFERENCIA FILIAL CONDICAO MATRIZ"
31,"EXTINCAO-UNIFICACAO DA FILIAL"
33,"TRANSFERENCIA DO ORGAO LOCAL A CONDICAO DE FILIAL DO ORGAO REGIONAL"
34,"ANULACAO DE INSCRICAO INDEVIDA"
35,"EMPRESA ESTRANGEIRA AGUARDANDO DOCUMENTACAO"
36,"PRATICA IRREGULAR DE OPERACAO DE COMERCIO EXTERIOR"
37,"BAIXA DE PRODUTOR RURAL"
38,"BAIXA DEFERIDA PELA RFB AGUARDANDO ANALISE DO CONVENENTE"
39,"BAIXA DEFERIDA PELA RFB E INDEFERIDA PELO CONVENENTE"
40,"BAIXA INDEFERIDA PELA RFB E AGUARDANDO ANALISE DO CONVENENTE"
41,"BAIXA INDEFERIDA PELA RFB E DEFERIDA PELO CONVENENTE"
42,"BAIXA DEFERIDA PELA RFB E SEFIN, AGUARDANDO ANALISE SEFAZ"
43,"BAIXA DEFERIDA PELA RFB, AGUARDANDO ANALISE DA SEFAZ E INDEFERIDA PELA SEFIN"
44,"BAIXA DEFERIDA PELA RFB E SEFAZ, AGUARDANDO ANALISE SEFIN"
45,"BAIXA DEFERIDA PELA RFB, AGUARDANDO ANALISE DA SEFIN E INDEFERIDA PELA SEFAZ"
46,"BAIXA DEFERIDA PELA RFB E SEFAZ E INDEFERIDA PELA SEFIN"
47,"BAIXA DEFERIDA PELA RFB E SEFIN E INDEFERIDA PELA SEFAZ"
48,"BAIXA INDEFERIDA PELA RFB, AGARDANDO ANALISE SEFAZ E DEFERIDA PELA SEFIN"
49,"BAIXA INDEFERIDA PELA RFB, AGUARDANDO ANALISE DA SEFAZ E INDEFERIDA PELA SEFIN"
50,"BAIXA INDEFERIDA PELA RFB, DEFERIDA PELA SEFAZ E AGUARDANDO ANALISE DA SEFIN"
51,"BAIXA INDEFERIDA PELA RFB E SEFAZ, AGUARDANDO ANALISE DA SEFIN"
52,"BAIXA INDEFERIDA PELA RFB, DEFERIDA PELA SEFAZ E INDEFERIDA PELA SEFIN"
53,"BAIXA INDEFERIDA PELA RFB E SEFAZ E DEFERIDA PELA SEFIN"
54,"EXTINCAO - TRATAMENTO DIFERENCIADO DADO AS ME E EPP (LEI COMPLEMENTAR NUMERO 123/2006)"
55,"DEFERIDO PELO CONVENENTE, AGUARDANDO ANALISE DA RFB"
60,"ARTIGO 30, VI, DA IN 748/2007"
61,"INDICIO INTERPOS. FRAUDULENTA"
62,"FALTA DE PLURALIDADE DE SOCIOS"
63,"OMISSAO DE DECLARACOES"
64,"LOCALIZACAO DESCONHECIDA"
66,"INAPTIDAO"
67,"REGISTRO CANCELADO"
70,"ANULACAO POR NAO CONFIRMADO ATO DE REGISTRO DO MEI NA JUNTA COMERCIAL"
71,"INAPTIDAO (LEI 11.941/2009 ART.54)"
72,"DETERMINACAO JUDICIAL"
73,"OMISSAO CONTUMAZ"
74,"INCONSISTENCIA CADASTRAL"
75,"OBITO DO MEI - TITULAR FALECIDO"
80,"BAIXA REGISTRADA NA JUNTA, INDEFERIDA NA RFB"
82,"SUSPENSO PERANTE A COMISSAO DE VALORES MOBILIARIOS - CVM"
